2026-07-07T17:33:03Z | promptSha=88d1535d1379a12d640d8a758cf2ab05e5ce4ba25b446adc75d782d10fbfebca | model=claude-sonnet-4-6 | brief="a patient frost controller" | tier=1 | kitSize=3 | generated=6 | firstPass=6 | accepted=6 | kits=arena/kits/a-patient-frost-controller-1.json,arena/kits/a-patient-frost-controller-2.json | marginals=applyStatus=6,damage=4,modifyStat=2,shield=2,spawnZone=2
2026-07-07T17:33:24Z | promptSha=88d1535d1379a12d640d8a758cf2ab05e5ce4ba25b446adc75d782d10fbfebca | model=claude-sonnet-4-6 | brief="a reckless fire skirmisher" | tier=1 | kitSize=3 | generated=6 | firstPass=6 | accepted=6 | kits=arena/kits/a-reckless-fire-skirmisher-1.json,arena/kits/a-reckless-fire-skirmisher-2.json | marginals=applyStatus=8,damage=4,displace=2,modifyStat=2,spawnZone=2
2026-07-07T17:33:43Z | promptSha=88d1535d1379a12d640d8a758cf2ab05e5ce4ba25b446adc75d782d10fbfebca | model=claude-sonnet-4-6 | brief="a defensive earth warden" | tier=2 | kitSize=3 | generated=6 | firstPass=6 | accepted=6 | kits=arena/kits/a-defensive-earth-warden-1.json,arena/kits/a-defensive-earth-warden-2.json | marginals=applyStatus=5,damage=3,modifyStat=5,shield=2,spawnZone=1
2026-07-07T17:34:10Z | promptSha=88d1535d1379a12d640d8a758cf2ab05e5ce4ba25b446adc75d782d10fbfebca | model=claude-sonnet-4-6 | brief="a hit-and-run wind duelist" | tier=2 | kitSize=3 | generated=6 | firstPass=4 | accepted=6 | kits=arena/kits/a-hit-and-run-wind-duelist-1.json,arena/kits/a-hit-and-run-wind-duelist-2.json | marginals=applyStatus=6,damage=4,displace=4,modifyStat=4
2026-07-07T17:34:34Z | promptSha=88d1535d1379a12d640d8a758cf2ab05e5ce4ba25b446adc75d782d10fbfebca | model=claude-sonnet-4-6 | brief="a shadow assassin built on setup and burst" | tier=3 | kitSize=3 | generated=6 | firstPass=4 | accepted=6 | kits=arena/kits/a-shadow-assassin-built-on-setup-and-burst-1.json,arena/kits/a-shadow-assassin-built-on-setup-and-burst-2.json | marginals=applyStatus=8,damage=2,displace=2,modifyStat=6,shield=1
2026-07-07T21:28:53Z | promptSha=cd1bcf68e2ee6e0bcfe13ce215e224a5a7c17e37ab3a299ff8371cb87349afde | model=claude-sonnet-4-6 | brief="a patient frost controller" | tier=1 | kitSize=3 | generated=6 | firstPass=6 | accepted=6 | kits=arena/kits/a-patient-frost-controller-1.json,arena/kits/a-patient-frost-controller-2.json | marginals=applyStatus=5,damage=3,modifyStat=2,shield=2,spawnZone=1
2026-07-07T21:29:14Z | promptSha=cd1bcf68e2ee6e0bcfe13ce215e224a5a7c17e37ab3a299ff8371cb87349afde | model=claude-sonnet-4-6 | brief="a reckless fire skirmisher" | tier=1 | kitSize=3 | generated=6 | firstPass=6 | accepted=6 | kits=arena/kits/a-reckless-fire-skirmisher-1.json,arena/kits/a-reckless-fire-skirmisher-2.json | marginals=applyStatus=4,damage=4,displace=2,modifyStat=4,spawnZone=1
2026-07-07T21:29:34Z | promptSha=cd1bcf68e2ee6e0bcfe13ce215e224a5a7c17e37ab3a299ff8371cb87349afde | model=claude-sonnet-4-6 | brief="a defensive earth warden" | tier=2 | kitSize=3 | generated=6 | firstPass=6 | accepted=6 | kits=arena/kits/a-defensive-earth-warden-1.json,arena/kits/a-defensive-earth-warden-2.json | marginals=applyStatus=5,damage=3,modifyStat=5,shield=2,spawnZone=2
2026-07-07T21:29:53Z | promptSha=cd1bcf68e2ee6e0bcfe13ce215e224a5a7c17e37ab3a299ff8371cb87349afde | model=claude-sonnet-4-6 | brief="a hit-and-run wind duelist" | tier=2 | kitSize=3 | generated=6 | firstPass=6 | accepted=6 | kits=arena/kits/a-hit-and-run-wind-duelist-1.json,arena/kits/a-hit-and-run-wind-duelist-2.json | marginals=applyStatus=4,damage=4,displace=5,modifyStat=4,shield=1
2026-07-07T21:30:15Z | promptSha=cd1bcf68e2ee6e0bcfe13ce215e224a5a7c17e37ab3a299ff8371cb87349afde | model=claude-sonnet-4-6 | brief="a shadow assassin built on setup and burst" | tier=3 | kitSize=3 | generated=6 | firstPass=6 | accepted=6 | kits=arena/kits/a-shadow-assassin-built-on-setup-and-burst-1.json,arena/kits/a-shadow-assassin-built-on-setup-and-burst-2.json | marginals=applyStatus=8,damage=2,displace=2,modifyStat=5,shield=2
